No.,,Category,Function,Description,Authority,,,,
,Code,,,,Super Admin,Franchisor,Single Store Owner,Staff,Client,
"A. Multi-Tenant, Secure Client Login",,,,,TRUE,TRUE,TRUE,TRUE,
,A1.Tenant Management,,,,,,,,
,a1-1,Super Admin site,Tenant Creation and Management,"Create, edit, and allocate new tenant instances through Super Admin console.",TRUE,,,,
,a1-2,Super Admin site,Tenant Deletion,Disable or delete tenants with cascade operations to remove all associated data.,TRUE,,,,
,a1-3,Super Admin site,Tenant Access and Monitoring,Access tenant systems for configuration checking and customer support operations.,TRUE,,,,
,A2.User Management & Security,,,,,,,,
,a2-1,Super Admin site,Super Admin Authentication,Super Admin login functionality and profile management with elevated permissions.,TRUE,,,,
,a2-2,Super Admin site,Roles and Permissions Management,System-wide user roles and permissions management across all tenants.,TRUE,,,,
,a2-3,Super Admin site,Global Authentication Configuration,Configure system-wide authentication settings including SSO providers and security policies.,◉,,,,
,A3.Platform Management,,,,,,,,
,a3-1,Super Admin site,Database Design and Management,Comprehensive database design including common tables and schema review.,TRUE,,,,
,a3-2,Super Admin site,System Monitoring and Analytics,"Platform-wide monitoring, performance analytics, and system health tracking.",◉,,,,Dựng khung trước
,a3-3,Super Admin site,Backup and Disaster Recovery,Automated backup systems and disaster recovery procedures for platform data.,◉,,,,
,A4. User Authentication,,,,,,,,
,a4-1,User site,Email/Password Login,"Users log in to the system using email address and password. Supports 2FA (SMS/Email/App-based). Details: Google/Microsoft SSO integration, role-based access control after login.",,TRUE,TRUE,TRUE,
,a4-2,User site,Logout,Safe logout from system and end session.,,TRUE,TRUE,TRUE,
,a4-3,User site,Password Reset,Password reset procedure when forgotten. Send reset link via email.,,TRUE,TRUE,TRUE,
,a4-4,User site,2FA Setup Interface,Interface for setting up and managing 2FA using authenticator app.,,TRUE,TRUE,TRUE,
,a4-5,User site,SSO Login (Google/Microsoft),Single sign-on using Google or Microsoft account. Details: 2FA and security rules depend on external provider.,,TRUE,TRUE,TRUE,
,A5. Branding & Display,,,,,,,,
,a5-1,Tenant site,Tenant Branding Display,"Display logo, colors, and branding information of current tenant. Retrieved dynamically via API.",,TRUE,TRUE,,
,a5-2,Tenant site,Branding Configuration Interface,"Tenant admin uploads logo, selects colors, and configures branding.",,TRUE,,,
,a5-3,Tenant site,Landing Page Display,Tenant-specific landing page. Basic setup based on template.,,TRUE,TRUE,,
,a5-4,User site,Public Website Display,Public website. Tenant information and service introduction.,,TRUE,TRUE,TRUE,
B.Sales Management			,,,,,,,,,
,B1.Quote Basic Functions,,,,,,,,
,b1-1,Tenant site,Quote Management,"Creating, reading, updating, deleting quotes with status tracking.",,TRUE,,,
,b1-2,Tenant site,Quote Items Management,"Managing quote line items including products, services, pricing, and quantities.",,TRUE,,,
,b1-3,Tenant site,Quote Status Tracking Logic,Automated workflow logic for quote status changes (Draft → Sent → Approved → Rejected).,,TRUE,,,
,B2.Quote Builder & Editor,,,,,,,,
,b2-1,Tenant site,Quote Builder/Editor Interface,Intuitive drag-and-drop interface for creating professional quotes with templates.,,TRUE,,,
,b2-2,Tenant site,Product/Service Search Component,Integrated product catalog search with external supplier API integration for pricing.,,TRUE,,,
,b2-3,Tenant site,Quote Management Interface,"Dashboard for managing all quotes with filtering, sorting, and bulk operations.",,TRUE,,,
,B3.Quote Sending & Notifications,,,,,,,,
,b3-1,Mail,Send Quote (Email/SMS/WhatsApp),Multi-channel quote delivery with formatted email templates and plain text SMS/WhatsApp.,,TRUE,TRUE,,
,b3-2,Batch,Automatic Reminder Jobs,Scheduled automated reminders for pending quotes and follow-ups.,,TRUE,TRUE,,
,B4.Quote Assignment & Scheduling,,,,,,,,
,b4-1,Tenant site,Staff Assignment Interface,"Role-based quote assignment system (Admins assign, Staff view assigned quotes only).",,TRUE,TRUE,,
,b4-2,Tenant site,Schedule Lock on Quote Approval,Automatic calendar blocking when quotes are approved to prevent double-booking.,,TRUE,TRUE,,
,b4-3,User site,Calendar Integration Interface,"Interactive calendar showing quotes, appointments, and work schedules with conflict detection.",,TRUE,TRUE,TRUE,
C.Work Operations Management,,,,,,,,,
,C1.Job Management,,,,,,,,
,c1-1,Tenant site,Job Creation from Approved Quote API,Automatic job creation and scheduling when quotes are approved by clients.,,TRUE,TRUE,,
,c1-2,Tenant site,Work Details and Staff Assignment API,API for assigning staff to jobs with skill matching and availability checking.,,TRUE,TRUE,,
,c1-3,Tenant site,Job Detail Page,"Comprehensive job page with status updates, file attachments, and progress tracking.",,TRUE,TRUE,,
,c1-4,Tenant site,Job Check-in/Check-out,Mobile/web interface for staff to check-in/out of jobs with time tracking (location optional).,,TRUE,TRUE,,
,C2.Timesheet Management,,,,,,,,
,c2-1,Tenant site,Timesheet Submission API,API for staff to submit timesheets with automatic calculation of hours and breaks.,,TRUE,TRUE,,
,c2-2,Tenant site,Timesheet Submission Screen,"User-friendly interface for entering work hours, breaks, and job details.",,TRUE,TRUE,,
,c2-3,Tenant site,Timesheet Approval and Viewing,Admin interface for approving timesheets and viewing attendance records by staff member.,,TRUE,TRUE,,
D.Finance & Accounting Management,,,,,,,,,
,E1.Payment Gateway,,,,,,,,
,d1-1,Tenant site,Stripe API Integration,Secure Stripe integration for credit card processing and direct debit payments.,,TRUE,,,
,d1-2,Tenant site,PayPal API Integration,PayPal gateway integration with fraud protection and buyer/seller protection.,,TRUE,,,
,d1-3,Tenant site,Apple Pay/Google Wallet Integration,Mobile wallet integration for seamless checkout experience.,,TRUE,,,
,d1-4,Tenant site,Payment Status Notification Webhook API,Real-time webhook notifications for payment status updates and failed transactions.,,TRUE,,,
,E2.Payment Management,,,,,,,,
,d2-1,Tenant site,Affiliate Payment,Processing affiliate commissions and partner payment calculations.,,TRUE,,,
,d2-2,Tenant site,Payment Request Creation Interface,Interface for creating payment requests with approval workflows and due dates.,,TRUE,,,
,d2-3,Tenant site,Payment Gateway Connection Setup Interface,Wizard for connecting and configuring payment gateways with API key management.,,TRUE,,,
,d2-4,Tenant site,Payment Status Tracking Dashboard,"Real-time dashboard showing payment status, transaction history, and reconciliation.",,TRUE,,,
,E3.Accounting Software Integration,,,,,,,,
,d3-1,Tenant site,Xero Authentication Flow,OAuth 2.0 authentication and connection setup with Xero accounting software.,,TRUE,,,
,d3-2,Tenant site,Xero Sync Logic,"Automated synchronization of invoices, payments, and expenses with Xero.",,TRUE,,,
,d3-3,Tenant site,QuickBooks Authentication Flow,OAuth 2.0 authentication and connection setup with QuickBooks.,,TRUE,,,
,d3-4,Tenant site,QuickBooks Sync Logic,Automated synchronization of financial data with QuickBooks.,,TRUE,,,
,d3-5,Tenant site,MYOB Authentication Flow,OAuth 2.0 authentication and connection setup with MYOB.,,TRUE,,,
,d3-6,Tenant site,MYOB Sync Logic,Automated synchronization of accounting data with MYOB.,,TRUE,,,
,d3-7,Tenant site,Accounting Software Connection Wizard,Step-by-step wizard for connecting and configuring accounting software integrations.,,TRUE,,,
E.Financial Reports,,,,,,,,,
,E1.Report Data Sync,,,,,,,,
,e1-1,Batch,Accounting Software Data Sync ,Sync financial data from connected accounting software including payroll information.,,TRUE,,,
,e1-2,Tenant site,Salary Summary Data Retrieval ,Retrieve and calculate salary summaries for payroll reporting.,,TRUE,,,
,e1-3,Tenant site,P&L Report Data Retrieval,Retrieve profit and loss data from accounting software for financial reporting.,,TRUE,,,
,E2.Report Display,,,,,,,,
,e2-1,Tenant site,Salary Summary Dashboard,"Interactive dashboard displaying salary summaries, overtime, and payroll costs.",,TRUE,,,
,e2-2,Tenant site,P&L Summary Interface,Financial reporting interface showing profit/loss statements and key financial metrics.,,TRUE,,,
,e2-3,Tenant site,Payroll Sync Interval Configuration,Configuration interface for setting payroll data synchronization frequency.,,TRUE,,,
F.Multi-Channel Communication,,,,,,,,,
,F1.Message Sending,,,,,,,,
,f1-1,Mail,Bidirectional Email Message,Sending and receiving emails with threading and conversation management.,,TRUE,TRUE,TRUE,
,f1-2,Mail,Bidirectional SMS Message,Sending and receiving SMS messages with delivery tracking and responses.,,TRUE,TRUE,TRUE,
,f1-3,Mail,Bidirectional WhatsApp Message ,WhatsApp messaging with rich media support and conversation management.,,TRUE,TRUE,TRUE,
,f1-4,Tenant site,Information Reception Setup via Email/SMS/WhatsApp,Configuration for receiving customer inquiries through multiple communication channels.,,TRUE,,,
,F2.Auto Response & Templates,,,,,,,,
,f2-1,Tenant site,Quick Response Content Setup ,Setting up quick response templates and canned responses.,,TRUE,,,
,f2-2,Tenant site,Recurring Communication Time Setup,Interface for scheduling recurring communications and automated messaging.,,TRUE,,,
,f2-3,Tenant site,Multi-channel Conversation Interface,"Unified interface for managing conversations across email, SMS, and WhatsApp channels.",,TRUE,TRUE,,
,f2-4,Tenant site,Recurring/Repeat Communication Logic,Automated logic for sending recurring messages based on tenant-defined schedules.,,TRUE,,,
,f2-5,Tenant site,Simple Auto Response Rules Logic,Rule-based system for automatic responses to common customer inquiries.,,TRUE,,,
,f2-6,Tenant site,Auto Rules Creation Interface,Interface for creating and managing automated response rules using templates.,,TRUE,,,
,f2-7,Tenant site,Quick Response Template UI,User interface for selecting and sending quick response templates.,,TRUE,,,
,f2-8,Tenant site,Fast Quote Management in Chat Interface,Integrated quote management within chat interface for quick quote creation and updates.,,TRUE,,,
G.Expanded Calendar Functions,,,,,,,,,
,G1.Concurrent Booking Limits,,,,,,,,
,g1-1,Tenant site,Concurrent Booking Limit Configuration,Configure maximum number of simultaneous bookings per time slot or job type.,,TRUE,,,
,g1-2,Tenant site,Schedule Check Logic Update,Updated scheduling logic to enforce concurrent booking limits and prevent overbooking.,,TRUE,,,
,g1-3,Tenant site,Visual Indicator for Full Time Slots,Visual indicators on calendar showing when time slots reach booking capacity.,,TRUE,,,
H.Location-Aware Booking with Google Maps,,,,,,,,,
,H1.Google Maps Integration,,,,,,,,
,h1-1,Super Admin site,Google Maps Distance Matrix ,Google Maps integration for calculating travel distances and times between job locations.,◉,,,,
,h1-2,Super Admin site,Travel Time Validation on Booking,Automatic validation of travel time between jobs when creating new bookings.,◉,,,,
,h1-3,Tenant site,Booking Block/Suggestion Logic,Intelligent booking system that blocks conflicting appointments or suggests optimal times.,◉,◉,,,
,h1-4,Tenant site,Auto-Adjust Available Slots,Dynamic adjustment of available time slots based on calculated travel times.,◉,◉,,,
,h1-5,Tenant site,Travel Time Override for Managers,Override capability for managers to bypass travel time restrictions when necessary.,◉,◉,,,
,h1-6,Tenant site,Job Address and Geocode Storage,Storage system for job addresses with geocoding for accurate distance calculations.,◉,◉,,,
,h1-7,User site,Calendar Travel Time Display,Calendar interface showing travel times between jobs with conflict warnings.,,◉,◉,◉,
J.Social Media & Digital Ads Integration with AI,,,,,,,,,
,J1.Social Media Platform Integration,,,,,,,,
,j1-1,Tenant site,Facebook API Integration,"Direct Facebook API integration for posting, engagement tracking, and social media management.",,◉,,,
,j1-2,Tenant site,Instagram API Integration,"Instagram API integration for content posting, story management, and engagement analytics.",,◉,,,
,j1-3,Tenant site,TikTok API Integration,TikTok API integration for video content creation and social media marketing campaigns.,,◉,,,
,j1-4,Tenant site,LinkedIn API Integration,"LinkedIn API integration for professional networking, content sharing, and B2B marketing.",,◉,,,
,J2.Digital Advertising Integration,,,,,,,,
,j2-1,Tenant site,Google Ads API Integration,Google Ads API integration for managing paid search and display advertising campaigns.,,◉,,,
,J3.AI-Powered Marketing Features,,,,,,,,
,j3-1,Tenant site,AI Ad Copy Generation,AI-powered generation of compelling advertising copy and marketing content using ML algorithms.,,◉,,,
,j3-2,Tenant site,Content Scheduling and Posting,Automated content scheduling and cross-platform posting to social media channels.,,◉,,,
,j3-3,Tenant site,Social Media Performance Reporting,"Analytics dashboard for tracking social media engagement, reach, and campaign performance.",,◉,,,
K.Cost Automation,,,,,,,,,
,K1.AI & OCR Processing,,,,,,,,
,k1-1,User site,Image Upload,Uploading receipt and vehicle meter images from mobile devices and web interface.,,TRUE,TRUE,TRUE,
,k1-2,Batch,OCR Service Integration,Third-party OCR service integration using OpenAI GPT for text extraction from images.,,TRUE,,,
,k1-3,Batch,Cost Classification Logic,AI-powered logic for automatically categorizing expenses and reading odometer values.,,TRUE,,,
,k1-4,Tenant site,Invoice/Odometer Data Edit,Reviewing and manually correcting AI-extracted invoice and mileage data.,,TRUE,TRUE,,
,K2.Data Sync & Management,,,,,,,,
,k2-1,Batch,Cost Sync with Accounting Software,Automated synchronization of classified costs with connected accounting systems.,,TRUE,,,
,k2-2,Tenant site,Image Review and Approval Interface,User interface for reviewing AI-processed images and approving data before accounting sync.,,TRUE,TRUE,,
,k2-3,Tenant site,Cost Management Dashboard,"Dashboard for managing expense categories, approval workflows, and accounting integration.",,TRUE,,,